Id,category,Name,Description,HSCode,Notes
1,Kitchen,Travel Mug,Stainless steel travel mug with spill-proof lid.,1542306531721,
2,Home,Adjustable Kitchen Broom Stand,Space-saving broom holder for organized cleaning supplies.,2769475314055,
3,Clothing - Accessories,Canvas Tote Bag,"Durable canvas tote bag, perfect for everyday use.",8599189188492,
4,Food - Sauces,Vegetable Stir-Fry Sauce,Savory sauce for vegetable and meat stir-fries.,3667288689306,
5,Outdoor,Outdoor Inflatable Pool,Large inflatable pool for summer fun in your backyard.,6818466270747,
6,Food - Produce,Honeycrisp Apples,"Crisp and sweet Honeycrisp apples, freshly picked.",0322672722318,
7,Pets,Pet Food Storage Container,Airtight container to keep pet food fresh.,4487436029965,Declinare atomum sine causa; quo nihil nec summum nec infimum.
8,Food - Condiments,Herb Garlic Butter,"A flavorful garlic butter blend, perfect for cooking or baking.",3413838730862,Salutatus Athenis Albucius. Quem quidem locum comit multa venustate et omni sale idem Lucilius.
9,Food - Spices & Seasonings,Chili Con Carne Mix,A spice blend for making flavorful chili con carne.,0958533166484,"Angusti aut omnia semper desperantes aut malivoli, invidi."
10,Food - Snacks,Chocolate Mint Thins,Mint-flavored chocolate candies for a refreshing treat.,9800002266602,
11,Beauty,Nail Polish Set,Assorted nail polish set for vibrant nails.,4401081527284,"Saepe, cur tam multos legant, quam legendi sunt. Quid enim me prohiberet."
12,Food,Home Brewing Starter Kit,All-in-one kit for brewing beer at home.,0122276026701,
13,Food - Spreads,Blueberry Chia Jam,"Homemade jam made with blueberries and chia seeds, no added sugar.",3411661337731,"Ipsas tam expetendas, quam nostras expeteremus, quo loco videtur quibusdam."
14,Food - Bakery,Sea Salt Caramel Brownie,Moist brownie topped with sea salt and caramel drizzle.,5832648164506,"Multos, sed imperitos --, quamquam autem."
15,Outdoor,Lockable Bicycle Chain,Heavy-duty chain lock for securing bicycles.,9952715765677,
16,Food - Frozen Foods,Frozen Cauliflower Rice,Convenient and low-carb alternative to traditional rice.,6503105995767,"Maiores fuissent, et in conspectum suum venire."
17,Food - Grains,Rice Noodles,"Thin rice noodles, ideal for stir-fries and soups.",6541967161873,
18,Kitchen,Vegetable Spiralizer,Create spiraled vegetable noodles easily for healthy meals.,4099864200984,"Inquit, sic agam, ut ipsi auctori."
19,Food - Nuts,Sunflower Seeds,Salted sunflower seeds perfect for snacking.,0512629627519,Quarum potiendi spe inflammati multos labores magnosque susceperant. Ecce autem alii minuti.
20,Fitness,Fitness Activity Journal,Journal to record workouts and nutrition.,4302606239113,
